amazon_record_id,product_id,product_name,main_category,sub_category,rating_num,rating_count_num,discount_percentage_num,estimated_revenue_proxy,review_length_chars,vader_compound_score,vader_sentiment_label,lda_topic_id,lda_topic_label,lda_topic_probability
679,B08QJJCY2Q,"Tizum Mouse Pad/ Computer Mouse Mat with Anti-Slip Rubber Base | Smooth Mouse Control | Spill-Resistant Surface for Laptop, Notebook, MacBook, Gaming, Laser/ Optical Mouse, 9.4”x 7.9”, Multicolored",Computers&Accessories,Accessories&Peripherals,4.4,5176.0,43,874744.0,739,0.9446,positive,1,"Topic 1: Value, Usability & Everyday Products",0.984071633690457
680,B07L5L4GTB,Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,Computers&Accessories,"Printers,Inks&Accessories",4.4,8614.0,24,2661726.0,990,0.984,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9879256899023433
681,B07L8KNP5F,"ZEBRONICS Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM, mSD, 9 hrs Playback with Mic (Black)",Electronics,"Headphones,Earbuds&Accessories",3.8,60026.0,57,35955574.0,3866,0.998,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.862258064843899
682,B08CF4SCNP,"Quantum QHM-7406 Full-Sized Keyboard with (₹) Rupee Symbol, Hotkeys and 3-pieces LED function for Desktop/Laptop/Smart TV Spill-Resistant Wired USB Keyboard with 10 million keystrokes lifespan (Black)",Computers&Accessories,Accessories&Peripherals,3.8,3066.0,50,916734.0,314,0.4588,positive,1,"Topic 1: Value, Usability & Everyday Products",0.7012551329838578
683,B09XX51X2G,"STRIFF Laptop Tabletop Stand, Fold-Up, Adjustable, Ventilated, Portable Holder for Desk, Aluminum Foldable Laptop Ergonomic Compatibility with up to 15.6-inch Laptop, All Mac, Tab, and Mobile (Silver)",Computers&Accessories,Accessories&Peripherals,4.0,2102.0,55,943798.0,704,0.6576,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9831226489194815
684,B01M72LILF,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC / Mac / Laptop - Charcoal Grey",Computers&Accessories,Accessories&Peripherals,4.4,34852.0,38,27846748.0,1111,0.8062,positive,1,"Topic 1: Value, Usability & Everyday Products",0.5745398166932314
685,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",4.4,426972.0,69,93506868.0,901,0.9921,positive,3,"Topic 3: Charging, Cables & Connectivity",0.7429775463904748
686,B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",OfficeProducts,OfficePaperProducts,4.5,8618.0,2,1353026.0,2112,0.9748,positive,1,"Topic 1: Value, Usability & Everyday Products",0.992723258572795
687,B07DJLFMPS,HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),Electronics,Accessories,4.0,32625.0,77,12038625.0,281,0.7184,positive,1,"Topic 1: Value, Usability & Everyday Products",0.7172007480300889
688,B09GB5B4BK,"HP 150 Wireless USB Mouse with Ergonomic and ambidextrous Design, 1600 DPI Optical Tracking, 2.4 GHz Wireless connectivity, Dual-Function Scroll Wheel and 12 Month Long Battery Life. 3-Years Warranty.",Computers&Accessories,Accessories&Peripherals,4.0,4018.0,33,2406782.0,830,0.7249,positive,1,"Topic 1: Value, Usability & Everyday Products",0.7418288363398005
689,B015ZXUDD0,"Duracell Rechargeable AA 1300mAh Batteries, 4Pcs",Electronics,GeneralPurposeBatteries&BatteryChargers,4.3,11687.0,20,5598073.0,1420,0.8656,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.41823438400087337
690,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,Accessories&Peripherals,4.2,2262.0,61,791700.0,766,0.9877,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9174724908994429
691,B09PL79D2X,"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx  Tech, Beast  Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP  Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Cool Grey)",Electronics,"Headphones,Earbuds&Accessories",3.8,11015.0,47,17601970.0,3623,0.9973,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.9968100690522008
692,B098K3H92Z,"TP-Link USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers",Computers&Accessories,NetworkingDevices,4.3,95116.0,33,56974484.0,11090,0.9983,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.5221713450148685
693,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,Accessories&Peripherals,4.1,4768.0,60,758112.0,694,0.9719,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9826603169675625
694,B084PJSSQ1,"SanDisk Ultra Dual Drive Luxe USB Type C Flash Drive (Silver, 128 GB, 5Y - SDDDC4-128G-I35)",Computers&Accessories,ExternalDevices&DataStorage,4.3,23022.0,57,29905578.0,1572,0.9778,positive,3,"Topic 3: Charging, Cables & Connectivity",0.5908117856942926
695,B097R25DP7,"Noise ColorFit Pulse Smartwatch with 3.56 cm (1.4"") Full Touch HD Display, SpO2, Heart Rate, Sleep Monitors & 10-Day Battery - Jet Black",Electronics,WearableTechnology,4.0,67951.0,68,108653649.0,675,0.8957,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.9868902255669396
696,B097C564GC,"rts [2 Pack] Mini USB C Type C Adapter Plug, Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhone, Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",Computers&Accessories,Accessories&Peripherals,4.3,4426.0,94,1301244.0,430,0.1416,positive,3,"Topic 3: Charging, Cables & Connectivity",0.6732298556372258
697,B08CYNJ5KY,HP 682 Black Original Ink Cartridge,Computers&Accessories,"Printers,Inks&Accessories",4.2,4567.0,4,3781476.0,404,0.8244,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9722679404400268
